"propriétaire","lien","propriété"
"Association des médias écrits communautaires du Québec","membre","«LE CYRI-LIEN», JOURNAL COMMUNAUTAIRE DE ST-CYRILLE-DE-L'ISLET"
"2324-6176 Québec Inc.",100,"101885 CANADA LTÉE"
"Louis-Jasmin Picard","Non majoritaire","10320633 CANADA INC. (Gravité Media)"
"Francis Picard","Non majoritaire","10320633 CANADA INC. (Gravité Media)"
"Gestion Julie Voyer Inc.","Non majoritaire","10320633 CANADA INC. (Gravité Media)"
"ARSENAL MEDIA INC.",100,"11802607 CANADA INC. (Arsenal Média)"
"Peter Thomas Kerr","Majoritaire","14170598 CANADA INC."
"Martin Phelan","Majoritaire","142792 CANADA INC."
"Lily Ryan","Non majoritaire","155106 CANADA INC."
"Sophie Ryan","Non majoritaire","155106 CANADA INC."
"Pierre-Antoine Fradet","Non majoritaire","15719330 Canada Inc."
"Mathieu Desjardins","Non majoritaire","15719330 Canada Inc."
"Christopher Curtis","Majoritaire","16044247 CANADA INC."
"Savannah Eden Stewart","Non majoritaire","16044247 CANADA INC."
"1742321 ONTARIO LIMITED","Majoritaire","1772887 Ontario Limited"
"Marc Simard",100,"2324-6176 Québec Inc."
"NumériQ inc.",100,"24 heures"
"René Soudre","Majoritaire","2524-3445 QUÉBEC INC."
"Yves Lafontaine","Non majoritaire","3091-2703 QUÉBEC INC. (Groupe Hom)"
"Éric Perrier","Non majoritaire","3091-2703 QUÉBEC INC. (Groupe Hom)"
"Marc Landreville","Non majoritaire","3091-2703 QUÉBEC INC. (Groupe Hom)"
"ESPN",100,"3167488 Canada Inc"
"Thomson Reuters Corporation","Majoritaire","3276838 Nova Scotia Company"
"Ernest Webb","Non majoritaire","3494586 CANADA INC.(Beesum Communications)"
"Neil Diamond","Non majoritaire","3494586 CANADA INC.(Beesum Communications)"
"William Nicholls","Non majoritaire","3494586 CANADA INC.(Beesum Communications)"
"Jean-Yves Gourd",100,"3556093 Canada Inc."
"BELL MÉDIA INC.",100,"3578704 Canada Inc."
"Antonio Zara","Majoritaire","3847128 CANADA INC."
"ANTONIO ZARA FAMILY TRUST","Non majoritaire","3847128 CANADA INC."
"Alain St-Jean","Majoritaire","4232593 Canada inc."
"Nikki Mantell",100,"4437594 CANADA INC."
"CENTRE CULTUREL CHACAVAC","Majoritaire","4479777 CANADA INC."
"Mohammad Nowrouzzahrai","Non majoritaire","4517466 Canada Inc. (Ici Television)"
"Sam Nowrouzzahrai","Non majoritaire","4517466 Canada Inc. (Ici Television)"
"Parirokh Nowrouzzahrai","Non majoritaire","4517466 Canada Inc. (Ici Television)"
"TVA PUBLICATIONS INC.",100,"7 jours"
"Mukutar Hasna","Majoritaire","7569424 CANADA INC."
"Alexandre Taillefer","Majoritaire","7807368 CANADA INC."
"Dominic Becotte","Non majoritaire","7807368 CANADA INC."
"Jean-Yves Gourd","90,91","8679401 Canada Inc."
"Famille Gourd","9,09","8679401 Canada Inc."
"RADIO BEAUCE INC.",100,"9022-6242 QUÉBEC INC."
"9506-5371 Québec inc.","Non majoritaire","9030-2944 QUÉBEC INC."
"9506-5322 Québec inc.","Non majoritaire","9030-2944 QUÉBEC INC."
"9506-5363 Quebec Inc.","Non majoritaire","9030-2944 QUÉBEC INC."
"Lily Ryan","Non majoritaire","9040-9681 QUÉBEC INC."
"Sophie Ryan","Non majoritaire","9040-9681 QUÉBEC INC."
"MÉDIALO INC.","Majoritaire","9061-6632 QUÉBEC INC."
"Danièle Crevier","Majoritaire","9080-2695 QUÉBEC INC."
"Stéphane Legrand",100,"9087-9214 QUÉBEC INC."
"Nicolas Langelier","Majoritaire","9129-4470 QUÉBEC INC."
