"type","montant","registre","neq","nom1","nom2","jurForme","act1Code","act1Desc","act2Code","act2Desc","localité","dateConsti","objet","adr1","adr2","adr3","adr4"
"Radiodiffuseur","8162577,65","req",1149595432,"BELL MÉDIA INC.","BELL MEDIA INC.","Compagnie privée",4811,"Broadcasting, entertainment and multi-media",,,"ONTARIO",2000-03-09,,"299, QUEEN STREET WEST","TORONTO (ONTARIO)",,"M5V2Z5"
"Radiodiffuseur",6860000,"req",8811585080,"SOCIÉTÉ RADIO-CANADA","CANADIAN BROADCASTING CORPORATION","Org. sans but lucratif",8164,"GESTION DES LOISIRS & DE LA CULTURE",,,"CANADA",1936-11-02,,"181 RUE Queen","Ottawa (Ontario)",,"K1P1K9"
"Éditeur","6622213,91","req",1166705922,"POSTMEDIA NETWORK INC.",,"Compagnie privée",2839,"JOURNAUX (PUBLICATION)/NEWS MEDIA",,,"CANADA",2010-04-27,,"12th F-365 BLOOR STREET E","TORONTO (ONTARIO)",,"M4W3L4"
"Radiodiffuseur","3442468,81","req",1166864018,"ROGERS MEDIA INC.",,"Compagnie privée",7741,"TÉLÉVISION, NOUVELLES ET DIVERTISSEMENT",7721,"GÉRANCE DE PORTAIL INTERNET","CANADA",2010-10-01,,"10 Fl.-333 ST Bloor E","Toronto (Ontario)",,"M4W1G9"
"Éditeur","2922667,17","req",1173734840,"LA PRESSE INC.",,"Compagnie privée",2841,"Impression et édition combinées",,,,2018-06-01,,"750 boul. Saint-Laurent","Montréal (Québec)",,"H2Y2Z4"
"Éditeur","2669166,9","req",1175097410,"COOPÉRATIVE NATIONALE DE L'INFORMATION INDÉPENDANTE, COOP DE SOLIDARITÉ",,"Coopérative",2839,"Édition de journaux",,,,2019-12-11,,"310-420 boul. Charest E","Québec (Québec)",,"G1K8M4"
"Radiodiffuseur","2550771,61","req",1142054189,"GROUPE TVA INC.","TVA GROUP INC.","Compagnie privée",4812,"TÉLÉVISION,ÉDIT. ET PUB. DE MAGAZINES, DISTRIBUTION DE PRO. AUDIO-VISUELS",,,"QUÉBEC",1960-03-29,,"612 rue Saint-Jacques","Montréal (Québec)",,"H3C4M8"
"Éditeur","2043927,27","req",1170153606,"MédiaQMI inc.","MediaQMI inc.","Compagnie privée",9999,"Services liés aux médias",,,,2014-06-13,,"612 RUE Saint-Jacques","Montréal (Québec)",,"H3C4M8"
"Éditeur","1495180,44","req",1142871533,"LE DEVOIR INC.",,"Compagnie privée",2839,"ÉDITION DU JOURNAL LE DEVOIR",,,"QUÉBEC",1992-10-29,,"800-1265 rue Berri","Montréal (Québec)",,"H2L4X4"
"Éditeur","744697,89","req",1172911860,"ICIMÉDIAS INC.",,"Compagnie privée",9999,"Gestion de journaux et publicités",,,"Québec",2017-07-03,,"25 rue Saint-Jacques","Saint-Jean-sur-Richelieu (Québec)",,"J3B2J6"
"Radiodiffuseur","722610,22","req",1144427391,"COGECO INC.",,"Compagnie privée",7215,"COMPAGNIE DE PORTEFEUILLE",,,"QUÉBEC",1957-07-24,,"3301-1 rue Place Ville-Marie","Montréal (Québec)",,"H3B3N2"
"Éditeur","551729,84","req",1143570555,"REUTERS CANADA LIMITÉE","REUTERS CANADA LIMITED","Compagnie privée",9999,"COUPURES DE PRESSE, AGENCE",,,"ONTARIO",1991-01-01,,"19 Duncan Street","Toronto (Ontario)",,"M5H3H1"
"Éditeur","551185,28","req",1171135180,"NumériQ inc.",,"Compagnie privée",4839,"-",,,,2015-07-28,,"612 RUE Saint-Jacques","Montréal (Québec)",,"H3C4M8"
"Éditeur","479622,22","req",1173256737,"MÉDIALO INC.",,"Compagnie privée",2839,"MAISON D'ÉDITION DE JOURNAUX ET MAGASINES",,,"Québec",2017-11-27,,"101-250 RUE Jacques Plante","Repentigny (Québec)",,"J5Y0L2"
"Éditeur","458200,45","req",1166148511,"URBANIA MÉDIA INC.",,"Compagnie privée",9611,"-",2839,"-","QUÉBEC",2009-10-01,,"100-914 RUE Notre-Dame O","Montréal (Québec)",,"H3C1J9"
"Radiodiffuseur","423361,37","corpoCanada","282866-9","La Chaîne d'affaires publiques par câble inc.",,"Loi canadienne sur les sociétés par actions","-","-","-","-","-","-",,"45 O'CONNOR ST SUITE 1750","OTTAWA ON",,"K1P1A4"
"Radiodiffuseur","374533,96","req",1162754684,"LE RÉSEAU DE TÉLÉVISION DES PEUPLES AUTOCHTONES",,"Org. sans but lucratif",6224,"ATELIER DE RÉPARATION DE POSTES DE TÉLÉVISION ET DE RADIO ET D'APP. STÉRÉO.",,,"CANADA",1989-06-12,,"339 Portage Avenue","Winnipeg (Manitoba)",,"R3B2C3"
"Éditeur","319615,67","req",1149802093,"Alta Newspaper Group Limited Partnership",,"Compagnie privée",,,,,,,,,,,
"Radiodiffuseur","297457,98","req",1143126887,"RNC MÉDIA INC.","RNC MEDIA INC.","Compagnie privée",4810,"RADIODIFFUSION TÉLÉDIFFUSION",,,"QUÉBEC",1948-01-17,,"935-1 PL Westmount Square","Westmount (Québec)",,"H3Z2P9"
"Éditeur","257839,67","req",1172943020,"10320633 CANADA INC. (Gravité Media)",,"Compagnie privée",2841,"Édition et publication médias",,,,2017-07-13,,"#215-215 BOUL. Jean-Leman","Candiac (Québec)",,"J5R6Z8"
"Éditeur","227276,64","req",1173871709,"Mishmash Media Inc.",,"Compagnie privée",2839,"Production média et édition",2849,"-",,2018-08-01,,"520-1450 rue City Councillors","Montréal (Québec)",,"H3A2E6"
"Éditeur","220040,09","req",1148493118,"D B C COMMUNICATIONS INC.",,"Compagnie privée",2841,"ÉDITION ET PUBLICATION DE JOURNAUX",5991,"DISTRIBUTION DE JOURNAUX ET CIRCULAIRES","QUÉBEC",1999-04-14,,"655 av. Sainte-Anne","Saint-Hyacinthe (Québec)",,"J2S5G4"
"Éditeur","185609,26","req",1174793647,"GROUPE CONTEX INC.","CONTEX GROUP INC.","Compagnie privée",9999,"Création et mise en marché d’évènements d’affaires et édition de magazines et sites web",,,,2019-07-02,,"501-355 RUE Sainte-Catherine Ouest","Montréal (Québec)",,"H3B1A5"
"Éditeur","160553,59","req",1175108357,"11802607 CANADA INC.",,"Compagnie privée",9999,"Nouvelles et agence d'information",,,,2019-12-20,,"3000-662 av. Victoria","Saint-Lambert (Québec)",,"J4P2J6"
"Éditeur",142332,"req",1174614603,"ACADEMIC JOURNALISM SOCIETY",,"Org. sans but lucratif",9999,"Journalisme",,,,2017-03-22,,"2200-700 WEST GEORGIA STREET","Vancouver (BC)",,"V7Y1K8"
"Éditeur","125775,53","req",1173002438,"L'Express Drummondville inc.",,"Compagnie privée",2839,"Édition de journaux hebdomadaires",,,,2017-08-11,,"201-575 rue des Écoles","Drummondville (Québec)",,"J2B1J6"
